category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Remote Access,Remote-Zugriff,Remote Access,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen darüber, inwieweit autorisierte Nutzer über Remote Access auf lizenziertes Material zugreifen dürfen.",The right of an authorized user to gain access to an Electronic Product from an offsite location.,,,,
License Property,Repository,Zweitveröffentlichungsrecht Repositorium,Repository,class com.k_int.kbplus.RefdataValue,license.oa.repository,,true,,Aussagen über die Art des Repositoriums.,A place where s.th. can be stored and found.,,,,
License Property,Scholarly sharing,Weitergabe im Rahmen der Lehre,Scholarly sharing,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, inwiefern der Lizenznehmer und autorisierte Nutzer Ausdrucke oder elektron. Kopien an Dritte im Kontext der u. a. privaten oder wissenschaftlichen Nutzung und im Rahmen der Lehre ausgeben darf.","The right of authorized users and/or the licensee to transmit hard copy or an electronic copy of a portion of the licensed materials to a third party for personal, scholarly, educational, scientific or professional use.",,,,
License Property,Scholarly sharing term note,Weitergabe im Rahmen der Lehre Bedingungen,Scholarly sharing term note,class java.lang.String,,,,,Bedingungen der Weitergabe im Rahmen der Lehre.,Information which qualifies a permissions statement on Scholarly Sharing.,,,,
License Property,Severability Clause,Salvatorische Klausel,Severability Clause,class java.lang.String,,,,,Angaben über die salvatorische Klausel.,,,,,
License Property,Signed,Signed,Signed,class com.k_int.kbplus.RefdataValue,y.n,,,,"Aussage darüber, ob das Vertragsdokument unterzeichnet worden ist.",a document has been signed by s.o.,,,,
License Property,Single-site license,Einzelplatzlizenz,Single-site license,class java.lang.String,,,,,Angaben über die Nutzung des Produktes über eine Einzelplatzlizenz.,,,,,
License Property,SingleUserAccess,Einzelnutzerzugang,Single user access,class com.k_int.kbplus.RefdataValue,y.n,,,,"Aussage, ob bei einer Nationallizenz auch Einzelnutzer für den Zugang berechtigt sind.",,,,,
License Property,Termination requirement note,Kündigungsrecht besondere Anforderung,Termination requirement note,class java.lang.String,,,,,,A clarification of the termination requirements and what certification of the requirement activities is necessary.,,,,
License Property,Text- and Datamining,Text- and Datamining,Text- and Datamining,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, ob das Material im Kontext des Datamining zu Verfügung steht.",,,,,
